team_abbr,lineup,player_last_name,player_id
ATL,YoungAlexanderOkongwuJohnsonDaniels,Young,
BKN,JrMannClaxtonClowneyDёmin,Dёmin,
CHA,BridgesBallMillerKalkbrenneKnueppel,Kalkbrenne,
DEN,MurrayBrownWatsonValančiūnaJr,Valanciuna,
DET,RobinsonGreenReedHollandJenkins,Holland,
GSW,MoodyPostCurryButlerGreen,Butler,
IND,SiakamBradleyNembhardNesmithRobinsonE,RobinsonE,
LAL,AytonLukaLaRaviaSmartLeBron,Luka,
LAL,AytonLukaLaRaviaSmartLeBron,LeBron,
MEM,LandaleAldamaSpencerWellsCaldwellP,CaldwellP,
MEM,JrLandaleIISpencerCoward,II,
MIL,TurnerJrRollinsGreenGiannis,Giannis,
MIN,DiVincenzoAntMcDanielsGobertRandle,Ant,
MIN,NazReidAntClarkConleyRandle,NazReid,
OKC,ShaiDortHolmgrenWilliamsWallace,Shai,
OKC,HartensteiShaiDortHolmgrenWallace,Hartenstei,
SAS,VassellChampagnieWembyCastleBarnes,Wemby,
TOR,IngramQuickleyAgbajiBarnesMamukelash,Mamukelash,
TOR,IngramBarrettQuickleyBarnesMurrayBoy,MurrayBoy,
WAS,CoulibalySarrGeorgeMiddletonMcCollum,McCollum,
WAS,IIIKispertWhitmoreGeorgeJohnson,Kispert,
