"team_abbr","need_urgency","top_need","trade_targets"
"SAC",1.153,"Scoring/Offense","Kawhi Leonard (+5.73 lift); Joel Embiid (+5.61 lift); Lauri Markkanen (+5.13 lift)"
"MEM",0.853,"Perimeter Defense","Dru Smith (+5.3 lift); Paul Reed (+4.3 lift); Javonte Green (+4.29 lift)"
"MIL",0.687,"Scoring/Offense","Kawhi Leonard (+4.26 lift); Joel Embiid (+4.14 lift); Lauri Markkanen (+3.66 lift)"
"DAL",0.631,"Perimeter Defense","Dru Smith (+5.24 lift); John Konchar (+4.41 lift); Paul Reed (+4.25 lift)"
"CHI",0.608,"Perimeter Defense","Dru Smith (+6.06 lift); John Konchar (+5.22 lift); Paul Reed (+5.07 lift)"
"UTA",0.461,"3pt Shooting","Sam Merrill (+5.12 lift); LaMelo Ball (+4.72 lift); Sam Hauser (+4.39 lift)"
"LAL",0.454,"3pt Shooting","Sam Merrill (+4.81 lift); LaMelo Ball (+4.41 lift); Sam Hauser (+4.07 lift)"
"IND",0.338,"Scoring/Offense","Kawhi Leonard (+3.84 lift); Joel Embiid (+3.72 lift); Lauri Markkanen (+3.23 lift)"
"ATL",0.231,"Scoring/Offense","Kawhi Leonard (+4.48 lift); Joel Embiid (+4.36 lift); Lauri Markkanen (+3.88 lift)"
"GSW",0.209,"Rebounding","Mitchell Robinson (+4.72 lift); Andre Drummond (+4.43 lift); Zach Edey (+4.24 lift)"
"LAC",0.168,"3pt Shooting","Sam Merrill (+3.71 lift); LaMelo Ball (+3.31 lift); Sam Hauser (+2.98 lift)"
"MIN",0.155,"Interior Defense","Jay Huff (+6.48 lift); Dylan Cardwell (+5.44 lift); Adem Bona (+5.22 lift)"
"ORL",0.147,"3pt Shooting","Sam Merrill (+3.53 lift); LaMelo Ball (+3.13 lift); Sam Hauser (+2.79 lift)"
"SAS",0.079,"Interior Defense","Jay Huff (+6.39 lift); Dylan Cardwell (+5.34 lift); Adem Bona (+5.12 lift)"
"BKN",0.014,"Scoring/Offense","Kawhi Leonard (+3.84 lift); Joel Embiid (+3.72 lift); Lauri Markkanen (+3.24 lift)"
"TOR",0.001,"3pt Shooting","Sam Merrill (+3.79 lift); LaMelo Ball (+3.39 lift); Sam Hauser (+3.05 lift)"
"DET",-0.073,"Interior Defense","Jay Huff (+5.88 lift); Dylan Cardwell (+4.83 lift); Adem Bona (+4.61 lift)"
"WAS",-0.089,"Scoring/Offense","Kawhi Leonard (+3.88 lift); Joel Embiid (+3.76 lift); Lauri Markkanen (+3.27 lift)"
"MIA",-0.161,"Interior Defense","Jay Huff (+4.99 lift); Dylan Cardwell (+3.95 lift); Adem Bona (+3.73 lift)"
"PHX",-0.169,"Scoring/Offense","Kawhi Leonard (+3.84 lift); Joel Embiid (+3.72 lift); Lauri Markkanen (+3.23 lift)"
"BOS",-0.174,"Interior Defense","Jay Huff (+6.57 lift); Dylan Cardwell (+5.53 lift); Adem Bona (+5.31 lift)"
"NOP",-0.246,"Rebounding","Mitchell Robinson (+4.01 lift); Andre Drummond (+3.72 lift); Zach Edey (+3.53 lift)"
"PHI",-0.394,"3pt Shooting","Sam Merrill (+3.46 lift); LaMelo Ball (+3.06 lift); Sam Hauser (+2.72 lift)"
"CLE",-0.418,"Rebounding","Mitchell Robinson (+3.98 lift); Andre Drummond (+3.69 lift); Zach Edey (+3.5 lift)"
"CHA",-0.453,"Perimeter Defense","Dru Smith (+5.55 lift); John Konchar (+4.71 lift); Paul Reed (+4.56 lift)"
"OKC",-0.504,"Interior Defense","Jay Huff (+6.42 lift); Dylan Cardwell (+5.37 lift); Adem Bona (+5.16 lift)"
"POR",-0.631,"Perimeter Defense","Dru Smith (+4.28 lift); John Konchar (+3.44 lift); Paul Reed (+3.28 lift)"
"HOU",-0.718,"Interior Defense","Jay Huff (+4.94 lift); Dylan Cardwell (+3.89 lift); Adem Bona (+3.67 lift)"
"DEN",-0.996,"Perimeter Defense","Dru Smith (+5.12 lift); John Konchar (+4.28 lift); Paul Reed (+4.12 lift)"
"NYK",-1.166,"Rebounding","Andre Drummond (+3.03 lift); Zach Edey (+2.84 lift); Kel'el Ware (+2.63 lift)"
